CancerType;N.Triplets;N.mRNAs;N.miRNAPairs;N.miRNAs
ACC;26;233;290;181
BLCA;299;168;292;189
BRCA;19;18;19;36
CESC;21;100;116;123
CHOL;2;42;45;66
COAD;62;65;77;81
DLBC;14;165;168;123
ESCA;46;187;222;158
HNSC;68;66;82;85
KICH;21;100;99;84
KIRC;13;31;37;44
KIRP;14;53;62;76
LGG;87;36;86;74
LIHC;62;101;132;134
LUAD;46;71;79;83
LUSC;17;36;39;60
MESO;8;107;132;121
OV;5;57;67;74
PAAD;30;39;40;43
PCPG;26;59;68;86
PRAD;6;5;6;10
READ;3;72;81;82
SARC;782;374;741;277
SKCM;33;471;588;274
STAD;260;146;248;163
TGCT;430;236;405;233
THCA;8;8;8;16
THYM;485;258;415;196
UCEC;37;115;159;156
UCS;45;319;413;228
UVM;9;182;186;138